StudentID,Age,Gender,Major,GPA,ActualYearOfStudy,PredictedYearOfStudy,IsCorrect,TopScore
1,22,Male,Economics,3.16,5,4,false,0.2199
2,25,Female,Economics,2.8,1,5,false,0.2089
3,19,Male,Computer Science,2.53,3,1,false,0.2336
4,24,Non-Binary,Arts,3.9,3,2,false,0.2675
5,21,Female,Nursing,3.33,1,4,false,0.2024
6,28,Male,Law,2.02,4,1,false,0.2472
7,25,Non-Binary,Engineering,3.55,1,4,false,0.2271
8,25,Male,Education,3.8,2,2,true,0.2282
9,21,Non-Binary,Business,3.29,5,5,true,0.2415
10,26,Non-Binary,Data Science,2.99,2,5,false,0.221
11,19,Female,Business,3.17,5,5,true,0.2269
12,18,Non-Binary,Nursing,3.75,4,3,false,0.2304
13,26,Female,Engineering,3.02,2,4,false,0.2374
14,23,Female,Nursing,2.46,5,5,true,0.2098
15,27,Non-Binary,Business,3.08,5,5,true,0.2435
16,25,Male,Biology,3.9,4,2,false,0.2478
17,27,Non-Binary,Data Science,2.62,2,5,false,0.2259
18,28,Female,Economics,3.09,4,2,false,0.2214
19,18,Non-Binary,Arts,2.92,4,3,false,0.2249
20,26,Male,Biology,2.37,2,2,true,0.2178
21,28,Male,Psychology,3.41,3,4,false,0.2327
22,18,Non-Binary,Psychology,2.72,3,3,true,0.2452
23,23,Male,Engineering,3.34,1,4,false,0.2508
24,25,Male,Arts,3.26,3,2,false,0.2583
25,19,Male,Psychology,3.63,2,1,false,0.24
26,26,Non-Binary,Mathematics,4,4,4,true,0.2291
27,21,Non-Binary,Psychology,3.46,4,3,false,0.2334
28,19,Female,Mathematics,3.04,5,4,false,0.2331
29,23,Non-Binary,Mathematics,2.96,2,5,false,0.2354
30,25,Male,Law,3.16,4,1,false,0.246
31,20,Male,Education,2.86,3,5,false,0.2261
32,24,Female,Computer Science,3.73,5,1,false,0.2371
33,26,Non-Binary,Arts,3.95,1,2,false,0.2773
34,21,Female,Education,3.57,4,5,false,0.2307
35,27,Female,Education,3.34,4,5,false,0.2325
36,24,Male,Business,3.07,1,4,false,0.2209
37,20,Non-Binary,Law,3.49,3,1,false,0.2358
38,26,Non-Binary,Data Science,3.49,1,5,false,0.2145
39,21,Female,Nursing,2.46,5,5,true,0.2097
40,28,Female,Engineering,3.67,5,2,false,0.2391
41,25,Non-Binary,Engineering,3.43,3,4,false,0.2269
42,21,Female,Education,3.53,1,5,false,0.2312
43,26,Male,Nursing,3.19,4,4,true,0.2186
44,19,Male,Computer Science,3.3,2,1,false,0.2304
45,28,Female,Economics,2.71,1,2,false,0.2134
46,24,Non-Binary,Nursing,3.67,2,2,true,0.2133
47,20,Female,Computer Science,2.98,1,1,true,0.2458
48,23,Non-Binary,Economics,2.63,4,5,false,0.2266
49,27,Female,Biology,3.48,2,2,true,0.2433
50,18,Male,Business,3.38,4,4,true,0.2179
51,21,Non-Binary,Data Science,2.48,2,5,false,0.2274
52,27,Non-Binary,Mathematics,2.93,5,5,true,0.2355
53,24,Female,Arts,3.73,2,2,true,0.2638
54,24,Male,Law,4,2,1,false,0.2433
55,24,Female,Mathematics,2.91,4,4,true,0.2366
56,18,Male,Economics,3.11,4,4,true,0.2171
57,19,Male,Business,2.89,4,4,true,0.2174
58,24,Female,Biology,2.95,5,5,true,0.2215
59,27,Non-Binary,Engineering,3.15,4,4,true,0.2277
60,23,Non-Binary,Business,2.23,3,5,false,0.2566
61,18,Male,Data Science,3.17,3,1,false,0.2164
62,22,Non-Binary,Economics,3.05,3,5,false,0.221
63,26,Non-Binary,Biology,2.31,4,5,false,0.2463
64,19,Non-Binary,Arts,3.09,2,2,true,0.229
65,24,Non-Binary,Arts,2.78,5,2,false,0.2419
66,23,Female,Biology,3.38,3,2,false,0.2258
67,28,Female,Arts,3,4,2,false,0.2634
68,23,Male,Engineering,3.78,2,4,false,0.2512
69,18,Male,Mathematics,3.93,1,4,false,0.2498
70,24,Female,Economics,3.23,3,2,false,0.2101
71,23,Non-Binary,Law,3.76,1,1,true,0.2315
72,22,Male,Biology,3.01,5,2,false,0.2168
73,26,Male,Arts,4,1,2,false,0.2797
74,18,Female,Computer Science,4,1,1,true,0.2437
75,25,Male,Law,3.6,1,1,true,0.244
76,19,Non-Binary,Arts,3.07,4,2,false,0.2285
77,27,Female,Data Science,3.63,1,1,true,0.2171
78,18,Male,Arts,4,1,2,false,0.2464
79,19,Non-Binary,Data Science,3.43,4,5,false,0.2153
80,27,Male,Nursing,3.07,2,4,false,0.2191
81,20,Female,Computer Science,2.8,5,1,false,0.2466
82,20,Non-Binary,Data Science,2.01,4,5,false,0.2332
83,21,Non-Binary,Biology,3.06,2,5,false,0.236
84,27,Female,Law,3.12,5,1,false,0.259
85,23,Non-Binary,Psychology,4,4,3,false,0.2252
86,18,Non-Binary,Mathematics,3.53,2,5,false,0.2278
87,23,Male,Business,2.83,3,4,false,0.2199
88,22,Male,Education,3.87,3,4,false,0.2218
89,22,Female,Engineering,3.5,5,4,false,0.2357
90,28,Non-Binary,Economics,3.36,3,2,false,0.226
91,21,Non-Binary,Computer Science,3.48,5,1,false,0.2147
92,19,Female,Law,2.93,4,1,false,0.2698
93,20,Male,Business,2.24,1,5,false,0.2254
94,28,Female,Mathematics,2.99,4,4,true,0.2395
95,21,Female,Economics,3.11,1,1,true,0.2063
96,24,Male,Psychology,3.26,1,1,true,0.2363
97,21,Female,Education,2.69,5,5,true,0.2431
98,24,Female,Arts,4,2,2,true,0.2701
99,20,Male,Psychology,1.98,4,1,false,0.245
100,27,Non-Binary,Education,2.35,5,5,true,0.2639
101,26,Non-Binary,Nursing,3.78,4,2,false,0.2229
102,21,Male,Psychology,3.55,2,1,false,0.2383
103,19,Male,Biology,2.08,4,5,false,0.2201
104,21,Male,Business,3.16,4,4,true,0.2193
105,27,Male,Economics,2.69,1,4,false,0.2223
106,22,Male,Education,3.94,1,4,false,0.2219
107,23,Female,Psychology,3.29,4,1,false,0.2535
108,27,Non-Binary,Mathematics,3.92,2,4,false,0.2295
109,19,Female,Psychology,4,4,1,false,0.255
110,25,Male,Engineering,3.39,2,4,false,0.2521
111,25,Male,Business,2.75,3,4,false,0.2209
112,19,Male,Engineering,2.25,4,4,true,0.2461
113,28,Non-Binary,Business,2.32,1,5,false,0.2546
114,24,Non-Binary,Arts,3.98,5,2,false,0.2694
115,24,Male,Nursing,3.69,4,4,true,0.2181
116,22,Female,Business,3.01,2,5,false,0.2287
117,18,Female,Law,2.97,2,1,false,0.2708
118,20,Male,Data Science,2.37,5,1,false,0.2174
119,28,Non-Binary,Psychology,3.54,2,1,false,0.2187
120,28,Male,Arts,3.23,1,2,false,0.2701
121,28,Non-Binary,Law,3.61,1,1,true,0.2264
122,25,Male,Business,2.87,5,4,false,0.2211
123,19,Female,Law,1.98,2,1,false,0.2733
124,21,Female,Education,2.24,3,5,false,0.2494
125,20,Male,Law,2.94,3,1,false,0.2528
126,20,Male,Biology,2.6,1,5,false,0.2134
127,28,Male,Arts,2.55,5,2,false,0.2544
128,26,Non-Binary,Engineering,3.31,5,4,false,0.2273
129,27,Non-Binary,Computer Science,2.61,3,5,false,0.2251
130,19,Female,Law,3.4,4,1,false,0.268
131,27,Male,Mathematics,4,4,4,true,0.2562
132,20,Male,Psychology,3.53,4,1,false,0.2394
133,28,Female,Law,3.92,4,1,false,0.2537
134,21,Male,Psychology,3.05,2,1,false,0.2402
135,26,Non-Binary,Education,2.28,2,5,false,0.2651
136,19,Male,Data Science,3.16,5,4,false,0.2157
137,25,Male,Nursing,3.73,5,2,false,0.2215
138,18,Male,Mathematics,3.85,4,4,true,0.2496
139,22,Non-Binary,Data Science,3.99,5,5,true,0.2084
140,27,Non-Binary,Engineering,3,1,4,false,0.2275
141,23,Female,Nursing,3.16,3,4,false,0.2034
142,25,Non-Binary,Computer Science,3.03,1,5,false,0.2197
143,25,Non-Binary,Mathematics,4,1,4,false,0.2285
144,21,Male,Mathematics,3.84,5,4,false,0.2519
145,26,Male,Computer Science,3.87,4,4,true,0.2204
146,18,Female,Engineering,3.54,4,4,true,0.2332
147,23,Non-Binary,Psychology,2.72,3,3,true,0.2303
148,25,Female,Arts,3.59,5,2,false,0.2647
149,21,Female,Arts,3.99,3,2,false,0.2573
150,25,Male,Arts,3.71,3,2,false,0.2687
151,27,Male,Nursing,2.49,4,4,true,0.2182
152,19,Male,Law,1.9,3,1,false,0.2577
153,21,Male,Economics,2.46,4,4,true,0.2179
154,19,Non-Binary,Biology,2.97,4,5,false,0.2373
155,27,Female,Economics,3.32,4,2,false,0.2227
156,20,Male,Psychology,4,2,1,false,0.2375
157,22,Female,Computer Science,3.42,3,1,false,0.2413
158,18,Non-Binary,Nursing,3.68,1,3,false,0.2307
159,25,Non-Binary,Law,3.37,5,1,false,0.2308
160,19,Male,Education,2.36,1,5,false,0.2329
161,21,Male,Economics,3.27,3,4,false,0.2195
162,21,Female,Arts,3.29,5,2,false,0.2416
163,24,Female,Business,4,1,2,false,0.2246
164,26,Non-Binary,Nursing,3.47,5,2,false,0.2164
165,18,Male,Biology,1.88,4,5,false,0.2226
166,18,Male,Computer Science,2.95,1,1,true,0.233
167,28,Non-Binary,Engineering,3.55,4,2,false,0.2361
168,25,Female,Data Science,3.08,2,1,false,0.2226
169,19,Male,Data Science,2.38,2,1,false,0.2185
170,20,Male,Computer Science,3.72,4,1,false,0.2273
171,26,Non-Binary,Mathematics,3.08,5,5,true,0.2336
172,27,Non-Binary,Computer Science,2.4,4,5,false,0.2278
173,25,Non-Binary,Biology,3.01,3,5,false,0.2362
174,22,Non-Binary,Psychology,2.49,4,3,false,0.2341
175,20,Male,Data Science,2.84,3,4,false,0.2157
176,26,Male,Arts,3.2,3,2,false,0.261
177,21,Male,Psychology,3.38,3,1,false,0.2389
178,22,Male,Business,3.24,2,4,false,0.2201
179,22,Female,Psychology,2.78,3,1,false,0.2565
180,25,Female,Law,4,4,1,false,0.2575
181,24,Male,Computer Science,3.57,1,1,true,0.223
182,26,Male,Biology,3.13,4,2,false,0.2343
183,23,Female,Mathematics,3.67,5,4,false,0.2378
184,21,Non-Binary,Education,2.78,4,5,false,0.2581
185,27,Male,Nursing,3.28,5,2,false,0.2194
186,20,Female,Engineering,3.64,1,4,false,0.2347
187,22,Male,Computer Science,2.3,4,1,false,0.2311
188,27,Male,Data Science,3.63,2,4,false,0.2221
