StudentID,Age,Gender,Major,GPA,ActualYearOfStudy,PredictedYearOfStudy,IsCorrect,TopScore
1,22,Male,Economics,3.16,5,4,false,0.2372
2,25,Female,Economics,2.8,1,5,false,0.2251
3,19,Male,Computer Science,2.53,3,1,false,0.2196
4,24,Non-Binary,Arts,3.9,3,4,false,0.2457
5,21,Female,Nursing,3.33,1,4,false,0.2233
6,28,Male,Law,2.02,4,5,false,0.2342
7,25,Non-Binary,Engineering,3.55,1,4,false,0.2377
8,25,Male,Education,3.8,2,4,false,0.2565
9,21,Non-Binary,Business,3.29,5,4,false,0.2203
10,26,Non-Binary,Data Science,2.99,2,5,false,0.2274
11,19,Female,Business,3.17,5,1,false,0.2157
12,18,Non-Binary,Nursing,3.75,4,4,true,0.2226
13,26,Female,Engineering,3.02,2,4,false,0.23
14,23,Female,Nursing,2.46,5,5,true,0.227
15,27,Non-Binary,Business,3.08,5,5,true,0.2297
16,25,Male,Biology,3.9,4,4,true,0.2602
17,27,Non-Binary,Data Science,2.62,2,5,false,0.234
18,28,Female,Economics,3.09,4,4,true,0.2323
19,18,Non-Binary,Arts,2.92,4,1,false,0.2287
20,26,Male,Biology,2.37,2,4,false,0.2285
21,28,Male,Psychology,3.41,3,4,false,0.2557
22,18,Non-Binary,Psychology,2.72,3,1,false,0.2245
23,23,Male,Engineering,3.34,1,4,false,0.2459
24,25,Male,Arts,3.26,3,4,false,0.2512
25,19,Male,Psychology,3.63,2,4,false,0.2397
26,26,Non-Binary,Mathematics,4,4,4,true,0.2448
27,21,Non-Binary,Psychology,3.46,4,4,true,0.2237
28,19,Female,Mathematics,3.04,5,5,true,0.2221
29,23,Non-Binary,Mathematics,2.96,2,5,false,0.2334
30,25,Male,Law,3.16,4,4,true,0.243
31,20,Male,Education,2.86,3,4,false,0.224
32,24,Female,Computer Science,3.73,5,4,false,0.2379
33,26,Non-Binary,Arts,3.95,1,4,false,0.2507
34,21,Female,Education,3.57,4,4,true,0.2262
35,27,Female,Education,3.34,4,4,true,0.2338
36,24,Male,Business,3.07,1,4,false,0.2391
37,20,Non-Binary,Law,3.49,3,4,false,0.221
38,26,Non-Binary,Data Science,3.49,1,4,false,0.235
39,21,Female,Nursing,2.46,5,5,true,0.2235
40,28,Female,Engineering,3.67,5,4,false,0.2475
41,25,Non-Binary,Engineering,3.43,3,4,false,0.2344
42,21,Female,Education,3.53,1,4,false,0.2252
43,26,Male,Nursing,3.19,4,4,true,0.2461
44,19,Male,Computer Science,3.3,2,4,false,0.2319
45,28,Female,Economics,2.71,1,5,false,0.2297
46,24,Non-Binary,Nursing,3.67,2,4,false,0.2347
47,20,Female,Computer Science,2.98,1,1,true,0.2148
48,23,Non-Binary,Economics,2.63,4,5,false,0.2278
49,27,Female,Biology,3.48,2,4,false,0.2381
50,18,Male,Business,3.38,4,4,true,0.231
51,21,Non-Binary,Data Science,2.48,2,5,false,0.2264
52,27,Non-Binary,Mathematics,2.93,5,5,true,0.2393
53,24,Female,Arts,3.73,2,4,false,0.2427
54,24,Male,Law,4,2,4,false,0.2592
55,24,Female,Mathematics,2.91,4,5,false,0.2317
56,18,Male,Economics,3.11,4,4,true,0.2251
57,19,Male,Business,2.89,4,4,true,0.223
58,24,Female,Biology,2.95,5,5,true,0.2211
59,27,Non-Binary,Engineering,3.15,4,4,true,0.2322
60,23,Non-Binary,Business,2.23,3,5,false,0.2355
61,18,Male,Data Science,3.17,3,4,false,0.2262
62,22,Non-Binary,Economics,3.05,3,5,false,0.2203
63,26,Non-Binary,Biology,2.31,4,5,false,0.2366
64,19,Non-Binary,Arts,3.09,2,1,false,0.2226
65,24,Non-Binary,Arts,2.78,5,4,false,0.2203
66,23,Female,Biology,3.38,3,4,false,0.2274
67,28,Female,Arts,3,4,4,true,0.2348
68,23,Male,Engineering,3.78,2,4,false,0.2549
69,18,Male,Mathematics,3.93,1,4,false,0.2413
70,24,Female,Economics,3.23,3,4,false,0.2264
71,23,Non-Binary,Law,3.76,1,4,false,0.2333
72,22,Male,Biology,3.01,5,4,false,0.2324
73,26,Male,Arts,4,1,4,false,0.2693
74,18,Female,Computer Science,4,1,4,false,0.2286
75,25,Male,Law,3.6,1,4,false,0.2519
76,19,Non-Binary,Arts,3.07,4,1,false,0.223
77,27,Female,Data Science,3.63,1,4,false,0.241
78,18,Male,Arts,4,1,4,false,0.2487
79,19,Non-Binary,Data Science,3.43,4,4,true,0.217
80,27,Male,Nursing,3.07,2,4,false,0.2447
81,20,Female,Computer Science,2.8,5,1,false,0.2175
82,20,Non-Binary,Data Science,2.01,4,5,false,0.2303
83,21,Non-Binary,Biology,3.06,2,5,false,0.2183
84,27,Female,Law,3.12,5,4,false,0.2295
85,23,Non-Binary,Psychology,4,4,4,true,0.239
86,18,Non-Binary,Mathematics,3.53,2,5,false,0.2166
87,23,Male,Business,2.83,3,4,false,0.2307
88,22,Male,Education,3.87,3,4,false,0.2496
89,22,Female,Engineering,3.5,5,4,false,0.2301
90,28,Non-Binary,Economics,3.36,3,4,false,0.235
91,21,Non-Binary,Computer Science,3.48,5,4,false,0.2227
92,19,Female,Law,2.93,4,1,false,0.2242
93,20,Male,Business,2.24,1,5,false,0.2214
94,28,Female,Mathematics,2.99,4,5,false,0.2353
95,21,Female,Economics,3.11,1,4,false,0.2167
96,24,Male,Psychology,3.26,1,4,false,0.2424
97,21,Female,Education,2.69,5,5,true,0.2308
98,24,Female,Arts,4,2,4,false,0.2478
99,20,Male,Psychology,1.98,4,1,false,0.225
100,27,Non-Binary,Education,2.35,5,5,true,0.2486
101,26,Non-Binary,Nursing,3.78,4,4,true,0.2403
102,21,Male,Psychology,3.55,2,4,false,0.2416
103,19,Male,Biology,2.08,4,1,false,0.2257
104,21,Male,Business,3.16,4,4,true,0.2328
105,27,Male,Economics,2.69,1,4,false,0.2358
106,22,Male,Education,3.94,1,4,false,0.2508
107,23,Female,Psychology,3.29,4,4,true,0.2251
108,27,Non-Binary,Mathematics,3.92,2,4,false,0.2433
109,19,Female,Psychology,4,4,4,true,0.2307
110,25,Male,Engineering,3.39,2,4,false,0.2498
111,25,Male,Business,2.75,3,4,false,0.2329
112,19,Male,Engineering,2.25,4,1,false,0.2266
113,28,Non-Binary,Business,2.32,1,5,false,0.2412
114,24,Non-Binary,Arts,3.98,5,4,false,0.2452
115,24,Male,Nursing,3.69,4,4,true,0.2515
116,22,Female,Business,3.01,2,5,false,0.2193
117,18,Female,Law,2.97,2,1,false,0.2272
118,20,Male,Data Science,2.37,5,1,false,0.2186
119,28,Non-Binary,Psychology,3.54,2,4,false,0.2388
120,28,Male,Arts,3.23,1,4,false,0.2549
121,28,Non-Binary,Law,3.61,1,4,false,0.2396
122,25,Male,Business,2.87,5,4,false,0.2352
123,19,Female,Law,1.98,2,1,false,0.2379
124,21,Female,Education,2.24,3,5,false,0.2365
125,20,Male,Law,2.94,3,4,false,0.2246
126,20,Male,Biology,2.6,1,4,false,0.218
